# MNE-Annotations
# orig_time : 2013-03-27 23:19:51.913170   
# onset, duration, description
1628.9866901408452,0.8281690140845512,sw
1634.390915492958,0.6253521126759551,sw
1650.0,30.0,2.0
1651.3514788732396,0.8112676056337023,kc
1670.048661971831,0.8619718309860218,sw
1680.0,30.0,2.0
1693.5500704225353,1.3690140845069436,kc
1695.0331690140847,0.878873239436416,sw
1698.2782394366197,1.0140845070422984,sw
1703.0655633802817,1.7577464788732868,kc
1710.0,30.0,2.0
1714.0895070422537,0.8112676056337023,sw
1722.8444366197184,0.7943661971830807,sw
1723.7571126760565,1.2676056338027593,sw
1725.928943661972,0.9802816901408278,sw
1740.0,30.0,2.0
1741.0514788732396,0.6253521126759551,sw
1742.7585211267606,0.9971830985916768,sw
1744.2120422535213,0.8281690140843239,sw
1765.4909154929578,1.352112676056322,sw
1770.0,30.0,2.0
1770.5951408450705,1.1323943661971043,sw
1773.6838732394367,0.8619718309860218,sw
1782.535985915493,0.574647887323863,sw
1783.1275352112677,0.7943661971830807,sw
1796.754295774648,0.6760563380282747,sw
1800.0,30.0,2.0
1830.0,30.0,2.0
1860.0,30.0,2.0
1864.2247183098593,0.9633802816899788,kc
1890.0,30.0,2.0
1890.9585211267606,0.5408450704226198,sw
1900.592323943662,1.2000000000000455,sw
1916.0993661971831,2.0957746478873105,dudoso
1920.0,30.0,2.0
1937.8388028169013,1.0985915492956337,sw
1950.0,30.0,2.0
1953.0923239436618,1.0647887323943905,sw
1954.5458450704225,0.8619718309857944,sw
1965.1726056338027,1.0985915492956337,kc
1972.8416197183096,0.8281690140845512,sw
1980.0,30.0,2.0
1987.8416197183096,1.4028169014086416,sw
1993.2585211267603,0.5408450704226198,sw
1994.3655633802816,1.2338028169012887,kc
1998.8866901408448,0.6422535211268041,sw
2002.8416197183096,0.7943661971830807,kc
2003.4838732394364,1.2845070422536082,sw
2010.0,30.0,2.0
2016.8782394366197,0.6084507042253335,sw
2017.6726056338027,0.7436619718309885,sw
2036.944436619718,0.6084507042253335,sw
2038.3979577464788,0.5915492957744846,sw
2040.0,30.0,2.0
2040.1388028169013,0.6760563380282747,sw
2044.8542957746477,0.7098591549297453,sw
2045.86838028169,1.03098591549292,sw
2047.6092253521126,1.03098591549292,sw
2058.3500704225353,0.7267605633801395,sw
2070.0,30.0,2.0
2072.8599295774648,1.216901408450667,sw
2074.4824647887326,1.0140845070422984,sw
2081.154295774648,0.7774647887326864,sw
2082.185281690141,0.8281690140843239,sw
2090.5641549295774,0.895774647887265,sw
2093.1162676056338,0.6253521126764099,sw
2094.092323943662,0.6929577464788963,sw
2096.399366197183,1.0309859154931473,sw
2100.0,30.0,2.0
2109.4472535211266,1.2000000000002728,kc
2113.571197183099,1.233802816901516,sw
2120.2895070422537,1.199999999999818,sw
2130.0,30.0,2.0
2137.8585211267605,0.6591549295776531,sw
2147.534577464789,1.5718309859153123,sw
2155.9514788732395,0.5239436619717708,sw
2160.0,30.0,2.0
2170.866971830986,0.6591549295771983,sw
2179.2796478873242,1.3859154929573378,kc
2181.2317605633802,1.1492957746481807,sw
2182.854295774648,0.6253521126759551,sw
2190.0,30.0,2.0
2191.790915492958,1.0309859154926926,sw
2192.8388028169015,0.9295774647885082,dudoso
2192.8557042253524,0.878873239436416,sw
2200.579647887324,1.4535211267607338,sw
2205.6500704225355,1.166197183098575,sw
2209.0768309859154,1.7070422535211947,sw
2211.037394366197,1.0478873239439963,sw
2217.654295774648,0.9802816901410552,sw
2220.0,30.0,3.0
2221.8458450704225,0.6253521126764099,sw
2226.6627464788735,0.4563380281688296,sw
2235.5951408450705,1.0309859154931473,sw
2236.8458450704225,1.6901408450708004,sw
2239.66838028169,0.7605633802818375,sw
2242.9472535211266,0.6084507042255609,sw
2245.2754225352114,0.6929577464788963,sw
2247.050070422535,0.912676056338114,sw
2250.0,30.0,3.0
2253.062746478873,1.0140845070422984,sw
2255.0909154929577,0.6760563380285021,sw
2262.793732394366,0.8957746478877198,sw
2271.5064084507044,1.7577464788732868,kc
2271.5444366197185,0.895774647887265,sw
2276.1035915492957,1.6901408450703457,sw
2280.0,30.0,3.0
2280.6500704225355,1.0816901408447848,sw
2286.2697887323943,0.5408450704226198,sw
2293.1655633802816,0.7774647887326864,sw
2294.9064084507045,1.3859154929577926,sw
2302.723309859155,1.0985915492956337,dudoso
2306.357112676056,0.6253521126764099,sw
2307.5571126760565,1.0816901408452395,sw
